chan_id,anomaly_idx,cls,d_real,T_real,alpha_hat,alpha_status,predicted_f1,predict_status,fp_rate,calibration_monotone
A-8,0,contextual,3805,3.9731667486634787,0.11706173880184986,ok,0.07048773023670905,duration_clamped,0.0,True
B-1,0,point,70,3.4384129946200956,0.9073814650980887,ok,0.8370583836233721,ok,0.0,True
C-1,0,point,200,3.5032532211016605,0.5256206416387377,ok,0.6078377863473265,ok,0.00389,True
C-1,1,point,110,1.9907055056020948,0.1,left_censored,0.48356875,ok,0.00389,True
D-14,0,point,20,2.678528374430416,0.7151114630436173,ok,0.5797036734084897,ok,0.0,True
D-14,1,point,200,3.4641016151377544,0.9543616463296486,ok,0.9269196130713732,ok,0.0,True
D-4,0,point,3247,240.52489727412544,1.5,right_censored,0.9802,duration_clamped,0.00368,True
D-5,0,point,50,2233.3181697640393,1.098421824127057,ok,0.0611875,ok,1.0,True
D-9,0,point,1155,3.4641016151377544,0.900810611779021,ok,0.9588331908610562,duration_clamped,0.0,True
E-10,0,contextual,50,2.437860151554092,0.5284083167245676,ok,0.3013907504237402,ok,0.02087,True
E-10,1,contextual,270,8.59370513274123,1.5,right_censored,0.945,duration_clamped,0.02087,True
E-8,0,point,622,6.970849757522293,0.3751188141054107,ok,0.8042484316538085,duration_clamped,0.08021,True
F-3,0,contextual,40,2758.4560515581247,0.11688982381071941,ok,0.1951825777896636,ok,0.17576,True
G-1,0,contextual,120,5.93669129201532,0.5699939484973767,ok,0.9628197169355606,ok,0.0,True
G-2,0,point,40,2.839499958905628,0.7441067047423522,ok,0.653295316232946,ok,0.0,True
G-3,0,point,50,18.23707078491969,1.5,right_censored,0.38965000000000005,ok,0.0,True
G-4,0,point,30,1394.8336458858762,1.5,right_censored,0.49745000000000006,ok,0.03026,True
M-2,0,contextual,1140,4.3423860246511135,0.6371801811543986,ok,0.8306683201622987,duration_clamped,0.01721,True
P-1,0,contextual,200,2.978900826905042,0.3019562119752995,ok,0.8634887203650372,ok,0.05588,True
P-1,1,contextual,308,1.9009343374628358,0.1,left_censored,0.9085,duration_clamped,0.05588,True
P-1,2,contextual,240,3.994100228087612,0.45265571132835136,ok,0.8918848165939045,ok,0.05588,True
P-2,0,point,1225,262.05562091087495,1.5,right_censored,0.8928,duration_clamped,0.03973,True
R-1,0,point,80,2.839499958905628,0.7455322062729604,ok,0.10185000000000001,ok,1.0,True
T-2,0,point,1784,8.574748071901299,0.15329334084734153,ok,0.2617908178328805,duration_clamped,0.72093,True
T-5,0,point,25,2.9892567642822825,0.7908928651942256,ok,0.5763442145626814,ok,0.0,True
